date,btcPrice,cbbiConfidence,regime,dailyReturn,portfolioReturn,equity,bull2x,bull3x,bear1x,usdc,spot
2016-03-27,425.45,0.3045,NORMAL,0.020709,0.024850,126624.24,0.250,0.150,0.000,0.350,0.250
2016-03-28,422.92,0.3153,NORMAL,-0.005964,-0.007157,125717.98,0.250,0.150,0.000,0.350,0.250
2016-03-29,415.86,0.3119,NORMAL,-0.016678,-0.020014,123201.84,0.250,0.150,0.000,0.350,0.250
2016-03-30,412.78,0.3062,NORMAL,-0.007421,-0.008905,122104.70,0.250,0.150,0.000,0.350,0.250
2016-03-31,415.96,0.2976,NORMAL,0.007702,0.009242,123233.20,0.250,0.150,0.000,0.350,0.250
2016-04-01,417.20,0.3069,NORMAL,0.002990,0.003588,123675.41,0.250,0.150,0.000,0.350,0.250
2016-04-02,419.76,0.3041,NORMAL,0.006142,0.007370,124586.93,0.250,0.150,0.000,0.350,0.250
2016-04-03,420.07,0.3058,NORMAL,0.000740,0.000888,124697.53,0.250,0.150,0.000,0.350,0.250
2016-04-04,419.54,0.3093,NORMAL,-0.001268,-0.001522,124507.72,0.250,0.150,0.000,0.350,0.250
2016-04-05,422.50,0.3065,NORMAL,0.007057,0.008468,125562.08,0.250,0.150,0.000,0.350,0.250
2016-04-06,421.91,0.3081,NORMAL,-0.001406,-0.001688,125350.18,0.250,0.150,0.000,0.350,0.250
2016-04-07,421.47,0.3043,NORMAL,-0.001043,-0.001251,125193.32,0.250,0.150,0.000,0.350,0.250
2016-04-08,418.64,0.3061,NORMAL,-0.006700,-0.008040,124186.79,0.250,0.150,0.000,0.350,0.250
2016-04-09,418.76,0.3098,NORMAL,0.000275,0.000330,124227.79,0.250,0.150,0.000,0.350,0.250
2016-04-10,421.95,0.3116,NORMAL,0.007632,0.009158,125365.48,0.250,0.150,0.000,0.350,0.250
2016-04-11,423.27,0.3086,NORMAL,0.003125,0.003750,125835.58,0.250,0.150,0.000,0.350,0.250
2016-04-12,427.43,0.3067,NORMAL,0.009815,0.011779,127317.74,0.250,0.150,0.000,0.350,0.250
2016-04-13,424.87,0.3121,NORMAL,-0.005978,-0.007174,126404.42,0.250,0.150,0.000,0.350,0.250
2016-04-14,425.86,0.3110,NORMAL,0.002316,0.002779,126755.75,0.250,0.150,0.000,0.350,0.250
2016-04-15,430.72,0.3034,NORMAL,0.011431,0.013717,128494.43,0.250,0.150,0.000,0.350,0.250
2016-04-16,432.22,0.3047,NORMAL,0.003464,0.004156,129028.51,0.250,0.150,0.000,0.350,0.250
2016-04-17,429.34,0.3111,NORMAL,-0.006655,-0.007986,127998.11,0.250,0.150,0.000,0.350,0.250
2016-04-18,429.66,0.3024,NORMAL,0.000738,0.000886,128111.50,0.250,0.150,0.000,0.350,0.250
2016-04-19,437.57,0.3068,NORMAL,0.018414,0.022097,130942.39,0.250,0.150,0.000,0.350,0.250
2016-04-20,442.66,0.3128,NORMAL,0.011639,0.013967,132771.26,0.250,0.150,0.000,0.350,0.250
2016-04-21,452.16,0.3135,NORMAL,0.021468,0.025762,136191.65,0.250,0.150,0.000,0.350,0.250
2016-04-22,448.13,0.3149,NORMAL,-0.008913,-0.010696,134734.95,0.250,0.150,0.000,0.350,0.250
2016-04-23,453.91,0.3148,NORMAL,0.012899,0.015478,136820.42,0.250,0.150,0.000,0.350,0.250
2016-04-24,463.38,0.3122,NORMAL,0.020859,0.025031,140245.13,0.250,0.150,0.000,0.350,0.250
2016-04-25,465.32,0.3149,NORMAL,0.004172,0.005006,140947.21,0.250,0.150,0.000,0.350,0.250
2016-04-26,469.61,0.3261,NORMAL,0.009225,0.011071,142507.58,0.250,0.150,0.000,0.350,0.250
